,PolicyNo,Policy_Company,Policy_Installment_Term,Policy_Billing_Code,Policy_Method_Of_Payment,Policy_Reinstatement_Fee_Indicator,Policy_Zip_Code_Garaging_Location,Vehicle_Territory,Vehicle_Make_Year,Vehicle_Make_Description,Vehicle_Performance,Vehicle_New_Cost_Amount,Vehicle_Symbol,Vehicle_Number_Of_Drivers_Assigned,Vehicle_Usage,Vehicle_Miles_To_Work,Vehicle_Days_Per_Week_Driven,Vehicle_Annual_Miles,Vehicle_Anti_Theft_Device,Vehicle_Passive_Restraint,Vehicle_Age_In_Years,Vehicle_Med_Pay_Limit,Vehicle_Bodily_Injury_Limit,Vehicle_Physical_Damage_Limit,Vehicle_Comprehensive_Coverage_Indicator,Vehicle_Comprehensive_Coverage_Limit,Vehicle_Collision_Coverage_Indicator,Vehicle_Collision_Coverage_Deductible,Driver_Total,Driver_Total_Male,Driver_Total_Female,Driver_Total_Single,Driver_Total_Married,Driver_Total_Related_To_Insured_Self,Driver_Total_Related_To_Insured_Spouse,Driver_Total_Related_To_Insured_Child,Driver_Total_Licensed_In_State,Driver_Minimum_Age,Driver_Maximum_Age,Driver_Total_Teenager_Age_15_19,Driver_Total_College_Ages_20_23,Driver_Total_Young_Adult_Ages_24_29,Driver_Total_Low_Middle_Adult_Ages_30_39,Driver_Total_Middle_Adult_Ages_40_49,Driver_Total_Adult_Ages_50_64,Driver_Total_Senior_Ages_65_69,Driver_Total_Upper_Senior_Ages_70_plus,Vehicle_Youthful_Driver_Indicator,Vehicle_Youthful_Driver_Training_Code,Vehicle_Youthful_Good_Student_Code,Vehicle_Driver_Points,Vehicle_Safe_Driver_Discount_Indicator,EEA_Liability_Coverage_Only_Indicator,EEA_Multi_Auto_Policies_Indicator,EEA_Policy_Zip_Code_3,EEA_Policy_Tenure,EEA_Agency_Type,EEA_Packaged_Policy_Indicator,EEA_Full_Coverage_Indicator,EEA_Prior_Bodily_Injury_Limit,EEA_PolicyYear,SYS_Renewed,SYS_New_Business,Annual_Premium,Claim_Count,Loss_Amount,Frequency,Severity,Loss_Ratio
15327,368867703,Standard ,6,Direct Billed to Insured,Installment,N,43012,30,1989,CHEV CAPRICE CL  ,Standard,-1,8,1,Pleasure,-1,5,Unknown,Not Applicable,N,9,-1,25-50  ,25000,N,-1,Y,500,1,1,0,1,0,1,0,0,1,25,25,0,0,1,0,0,0,0,0,Y,With or Without Driver Training,Not Eligible for Good Student Credit,1,N,N,Y,430,1.0,Preferred,N,Y,20-50,2006,Y,N,223.66,1,2061.38,2.0,2061.38,9.22
13495,361592002,Standard ,6,Direct Billed to Insured,Installment,N,43433,26,1996,INFI I30-I30T    ,Standard,-1,19,99,Pleasure,-1,5,Unknown,Active Disabling,Y,9,1000,50-100 ,50000,N,-1,N,-1,1,1,0,1,0,1,0,0,1,49,49,0,0,0,0,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,Y,Y,434,1.0,Non-standard,N,N,40-100 ,2006,Y,N,152.64,1,1090.0,2.0,1090.0,7.14
6420,316152009,Standard ,6,Direct Billed to Insured,Installment,N,42361,30,2005,NSSN TITAN XE-S  ,Intermediate,-1,15,1,Work    ,12,5,Unknown,Alarm Only,Y,2,-1,100-300,50000,N,-1,Y,500,1,0,1,0,1,0,1,0,1,44,44,0,0,0,0,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,N,423,4.5,Non-standard,N,Y,100-200,2006,Y,N,533.18,1,1170.75,2.0,1170.75,2.2
14019,363903401,Standard ,12,Premium Finance,Pre-paid,N,43368,31,2000,JEEP GRCHER LAR  ,Standard,-1,12,1,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,7,50000,100-300,100000,N,-1,Y,250,1,0,1,1,0,0,0,1,1,20,20,0,1,0,0,0,0,0,0,Y,Without Driver Training        ,Not Eligible for Good Student Credit,0,N,N,Y,433,1.0,Hybrid,Y,Y,100-200,2006,Y,N,1598.48,1,2631.66,1.0,2631.66,1.65
18003,377269300,Standard ,12,Direct Billed to Insured,Pre-paid,N,42452,35,1996,FORD RANGER      ,Standard,-1,7,1,Farm    ,-1,5,Unknown,Not Applicable,Y,9,50000,,-1,Y,300000,N,-1,1,1,0,0,1,1,0,0,1,74,74,0,0,0,0,0,0,0,1,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,Y,Y,424,0.0,Non-standard,N,N,,2006,Y,Y,361.46,1,33145.61,1.0,33145.61,91.7
10355,345448604,Standard ,6,Direct Billed to Insured,Pre-paid,N,43368,31,1997,HOND ACCORD SE   ,Standard,-1,14,99,Farm    ,-1,5,Unknown,Not Applicable,Y,9,1000,50-100 ,50000,N,-1,Y,500,1,1,0,0,1,1,0,0,1,47,47,0,0,0,0,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,N,Y,433,2.0,Hybrid,Y,Y,40-100 ,2006,Y,N,322.24,1,699.64,2.0,699.64,2.17
17710,376052901,Standard ,6,Direct Billed to Insured,Installment,N,44064,31,1999,HOND ACCORD LX   ,Standard,-1,12,1,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,9,1000,25-50  ,25000,N,-1,Y,500,1,0,1,0,0,1,0,0,1,73,73,0,0,0,0,0,0,0,1,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,440,0.5,Preferred,Y,Y,20-50,2006,Y,N,309.52,1,1016.6,2.0,1016.6,3.28
3991,285627908,Standard ,12,Direct Billed to Insured,Pre-paid,N,42401,30,1992,FORD F150        ,Standard,-1,7,99,Pleasure,-1,5,Unknown,Not Applicable,N,9,1000,25-50  ,25000,N,-1,N,-1,1,1,0,0,0,1,0,0,1,45,45,0,0,0,0,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,Y,Y,424,8.0,Hybrid,N,N,20-50,2006,Y,N,254.4,1,679.8,1.0,679.8,2.67
14008,363864402,Standard ,6,Direct Billed to Insured,Installment,N,42855,35,1988,DODG DAKOTA      ,Standard,-1,7,1,Work    ,5,5,Unknown,Passive Disabling-Vehicle Recovery,Y,9,5000,25-50  ,25000,N,-1,N,-1,2,1,1,1,1,1,0,0,2,20,47,0,1,0,0,1,0,0,0,Y,Without Driver Training        ,Not Eligible for Good Student Credit,0,N,N,Y,428,1.0,Preferred,N,N,20-50,2006,Y,N,236.38,1,43.6,2.0,43.6,0.18
9679,341309907,Standard ,6,Direct Billed to Insured,Installment,N,43028,30,1996,DODG RAM PU1500  ,Standard,-1,14,2,Pleasure,-1,5,Unknown,Not Applicable,Y,9,5000,100-300,50000,N,-1,N,-1,2,2,0,1,1,1,0,1,2,18,46,1,0,0,0,1,0,0,0,Y,Without Driver Training        ,Not Eligible for Good Student Credit,1,N,N,Y,430,2.6,Preferred,Y,N,100-200,2006,Y,N,373.12,1,1437.69,2.0,1437.69,3.85
