,PolicyNo,Policy_Company,Policy_Installment_Term,Policy_Billing_Code,Policy_Method_Of_Payment,Policy_Reinstatement_Fee_Indicator,Policy_Zip_Code_Garaging_Location,Vehicle_Territory,Vehicle_Make_Year,Vehicle_Make_Description,Vehicle_Performance,Vehicle_New_Cost_Amount,Vehicle_Symbol,Vehicle_Number_Of_Drivers_Assigned,Vehicle_Usage,Vehicle_Miles_To_Work,Vehicle_Days_Per_Week_Driven,Vehicle_Annual_Miles,Vehicle_Anti_Theft_Device,Vehicle_Passive_Restraint,Vehicle_Age_In_Years,Vehicle_Med_Pay_Limit,Vehicle_Bodily_Injury_Limit,Vehicle_Physical_Damage_Limit,Vehicle_Comprehensive_Coverage_Indicator,Vehicle_Comprehensive_Coverage_Limit,Vehicle_Collision_Coverage_Indicator,Vehicle_Collision_Coverage_Deductible,Driver_Total,Driver_Total_Male,Driver_Total_Female,Driver_Total_Single,Driver_Total_Married,Driver_Total_Related_To_Insured_Self,Driver_Total_Related_To_Insured_Spouse,Driver_Total_Related_To_Insured_Child,Driver_Total_Licensed_In_State,Driver_Minimum_Age,Driver_Maximum_Age,Driver_Total_Teenager_Age_15_19,Driver_Total_College_Ages_20_23,Driver_Total_Young_Adult_Ages_24_29,Driver_Total_Low_Middle_Adult_Ages_30_39,Driver_Total_Middle_Adult_Ages_40_49,Driver_Total_Adult_Ages_50_64,Driver_Total_Senior_Ages_65_69,Driver_Total_Upper_Senior_Ages_70_plus,Vehicle_Youthful_Driver_Indicator,Vehicle_Youthful_Driver_Training_Code,Vehicle_Youthful_Good_Student_Code,Vehicle_Driver_Points,Vehicle_Safe_Driver_Discount_Indicator,EEA_Liability_Coverage_Only_Indicator,EEA_Multi_Auto_Policies_Indicator,EEA_Policy_Zip_Code_3,EEA_Policy_Tenure,EEA_Agency_Type,EEA_Packaged_Policy_Indicator,EEA_Full_Coverage_Indicator,EEA_Prior_Bodily_Injury_Limit,EEA_PolicyYear,SYS_Renewed,SYS_New_Business,Annual_Premium,Claim_Count,Loss_Amount,Frequency,Severity,Loss_Ratio
14504,365538501,Standard ,6,Direct Billed to Insured,Pre-paid,N,43066,27,2000,HOND CIVIC EX    ,Standard,-1,19,1,Work    ,4,5,Unknown,Passive Disabling-Vehicle Recovery,Y,7,1000,25-50  ,25000,N,-1,N,-1,1,0,1,0,1,0,1,0,1,44,44,0,0,0,0,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,Y,Y,430,0.5,Hybrid,N,N,20-50,2006,Y,N,151.58,1,6184.06,2.0,6184.06,40.8
81,168588740,Standard ,6,Direct Billed to Insured,Pre-paid,N,42349,35,2001,BUIK LESABRE CU  ,Standard,-1,7,1,Pleasure,-1,5,Unknown,Active Disabling,Y,6,1000,100-300,100000,N,-1,Y,500,1,0,1,0,0,1,0,0,1,77,77,0,0,0,0,0,0,0,1,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,N,423,30.5,Non-standard,N,Y,100-200,2006,Y,N,351.92,1,15934.9,2.0,15934.9,45.28
17930,376962900,Standard ,6,Direct Billed to Insured,Pre-paid,N,43434,31,1998,GMC  SIERRA1500  ,Standard,-1,12,1,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,9,1000,25-50  ,25000,N,-1,Y,500,2,1,1,0,0,1,0,1,2,37,60,0,0,0,1,0,1,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,434,0.0,Non-standard,Y,Y,20-50,2006,Y,Y,296.8,2,4570.7,4.0,2285.35,15.4
18668,380229000,Standard ,6,Direct Billed to Insured,Installment,N,42549,31,2000,CHEV BLAZER      ,Standard,-1,11,1,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,8,5000,100-300,100000,N,-1,Y,500,1,0,1,0,1,1,0,0,1,43,43,0,0,0,0,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,N,Y,425,0.0,Hybrid,Y,Y,100-200,2006,Y,Y,365.7,1,54.5,2.0,54.5,0.15
14555,365737201,Preferred,6,Direct Billed to Insured,Installment,N,43025,35,1996,GMC  SAFARI      ,Standard,-1,7,99,Work    ,14,5,Unknown,Not Applicable,Y,9,-1,100-300,100000,N,-1,N,-1,2,1,1,0,2,1,1,0,2,43,44,0,0,0,0,2,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,N,Y,430,0.7,Hybrid,Y,N,100-200,2006,Y,N,205.64,1,636.77,2.0,636.77,3.1
18348,378789200,Standard ,6,Direct Billed to Insured,Installment,N,43878,31,1996,FORD WINDSTAR    ,Standard,-1,11,99,Work    ,6,5,Unknown,Not Applicable,Y,9,5000,50-100 ,50000,N,-1,Y,500,2,1,1,0,2,1,1,0,2,24,26,0,0,2,0,0,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,N,N,438,0.0,Standard,N,Y,40-100 ,2006,N,Y,382.66,1,2117.87,2.0,2117.87,5.53
2019,231450726,Standard ,6,Direct Billed to Insured,Installment,Y,43755,20,1997,TYTA CAMRY       ,Standard,-1,11,1,Work    ,9,5,Unknown,Alarm Only,Y,9,1000,100-300,50000,N,-1,Y,500,1,0,1,1,0,1,0,0,1,59,59,0,0,0,0,0,1,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,N,437,10.8,Hybrid,N,Y,100-200,2006,Y,N,355.1,1,533.45,2.0,533.45,1.5
6605,317826509,Standard ,6,Direct Billed to Insured,Installment,Y,42608,31,1997,FORD F150        ,Standard,-1,7,99,Work    ,10,5,Unknown,Not Applicable,Y,9,-1,50-100 ,50000,N,-1,Y,500,1,1,0,1,0,1,0,0,1,43,43,0,0,0,0,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,426,4.4,Preferred,N,Y,40-100 ,2006,N,N,302.1,1,1337.58,2.0,1337.58,4.43
7618,326603709,Standard ,6,Direct Billed to Insured,Installment,N,42907,35,2002,CHEV TAHOE       ,Standard,-1,12,99,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,5,1000,50-100 ,50000,N,-1,Y,500,1,0,1,0,1,0,1,0,1,26,26,0,0,1,0,0,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,429,4.0,Preferred,Y,Y,40-100 ,2006,Y,N,361.46,1,2947.19,2.0,2947.19,8.15
14001,363848002,Standard ,6,Direct Billed to Insured,Installment,N,43375,26,1995,NSSN ALTIMA      ,Standard,-1,11,1,Work    ,15,5,Unknown,Not Applicable,Y,9,1000,50-100 ,50000,N,-1,N,-1,2,1,1,2,0,1,0,0,2,28,29,0,0,2,0,0,0,0,0,Y,With or Without Driver Training,Not Eligible for Good Student Credit,1,N,N,Y,433,1.0,Non-standard,N,N,40-100 ,2006,N,N,190.26,1,5435.69,2.0,5435.69,28.57
11408,351579505,Standard ,6,Direct Billed to Insured,Installment,N,44160,31,1999,FORD F150        ,Standard,-1,10,99,Work    ,13,5,Unknown,Passive Disabling-Vehicle Recovery,Y,9,1000,100-300,50000,N,-1,Y,500,2,1,1,0,2,1,1,0,2,31,38,0,0,0,2,0,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,441,2.5,Preferred,Y,Y,100-200,2006,Y,N,378.42,1,1803.81,2.0,1803.81,4.77
9951,343031205,Standard ,6,Direct Billed to Insured,Installment,N,42874,30,1997,HOND ACCORD LX   ,Standard,-1,13,99,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,9,1000,100-300,100000,N,-1,Y,500,2,2,0,0,2,1,1,0,2,35,41,0,0,0,1,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,N,Y,428,2.5,Hybrid,Y,Y,100-200,2006,Y,N,376.3,1,3695.38,2.0,3695.38,9.82
3048,268129520,Standard ,6,Direct Billed to Insured,Installment,N,43671,31,2001,FORD TAURUS SE   ,Standard,-1,10,1,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,7,5000,25-50  ,25000,N,-1,Y,250,1,0,1,0,1,0,1,0,1,37,37,0,0,0,1,0,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,436,10.0,Non-standard,Y,Y,20-50,2006,Y,N,373.12,1,245.99,2.0,245.99,0.66
14184,364465701,Standard ,6,Direct Billed to Insured,Pre-paid,N,43066,35,2001,CHEV CAVALIERLS  ,Standard,-1,15,1,Work    ,2,5,Unknown,Passive Disabling-Vehicle Recovery,Y,6,5000,50-100 ,50000,N,-1,Y,500,1,0,1,1,0,1,0,0,1,55,55,0,0,0,0,0,1,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,N,N,430,0.5,Hybrid,N,Y,40-100 ,2006,Y,N,466.4,1,1499.44,2.0,1499.44,3.21
10064,343716205,Standard ,6,Direct Billed to Insured,Installment,N,43001,35,2001,CHEV TAHOE       ,Standard,-1,11,1,Work    ,8,5,Unknown,Not Applicable,Y,6,2000,100-300,50000,N,-1,Y,1000,1,0,1,0,0,1,0,0,1,64,64,0,0,0,0,0,1,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,N,N,430,2.5,Hybrid,N,Y,100-200,2006,Y,N,433.54,1,1377.05,2.0,1377.05,3.18
565,188217729,Standard ,6,Direct Billed to Insured,Pre-paid,N,43647,20,2002,BUIK LESABRE CU  ,Standard,-1,7,1,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,5,1000,100-300,50000,N,-1,Y,250,1,0,1,0,1,0,1,0,1,73,73,0,0,0,0,0,0,0,1,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,436,14.0,Hybrid,Y,Y,100-200,2006,Y,N,377.36,1,3480.29,2.0,3480.29,9.22
8849,335855607,Standard ,6,Direct Billed to Insured,Installment,N,42874,30,2003,SUBARU LEGACY WGN,Standard,-1,16,99,Pleasure,-1,5,Unknown,Not Applicable,Y,5,5000,100-300,50000,N,-1,Y,1000,2,1,1,0,2,1,1,0,2,46,47,0,0,0,0,2,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,428,3.5,Preferred,Y,Y,100-200,2006,Y,N,473.82,1,6073.13,2.0,6073.13,12.82
6181,313873610,Standard ,6,Direct Billed to Insured,Installment,N,42569,31,2004,PONT GTO         ,High,-1,19,1,Work    ,8,5,Unknown,Passive Disabling-Vehicle Recovery,Y,3,2000,100-300,100000,N,-1,Y,1000,1,0,1,0,1,0,1,0,1,36,36,0,0,0,1,0,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,425,5.0,Standard,Y,Y,100-200,2006,Y,N,516.22,1,2517.68,2.0,2517.68,4.88
12694,358174502,Preferred,6,Direct Billed to Insured,Installment,N,43359,31,1991,BUIK LESABRELTD  ,Standard,-1,6,1,Pleasure,-1,5,Unknown,Not Applicable,N,9,1000,25-50  ,25000,N,-1,N,-1,2,1,1,0,0,1,0,1,2,40,74,0,0,0,0,1,0,0,1,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,Y,Y,433,1.0,Standard,N,N,20-50,2006,Y,N,159.0,1,62130.0,2.0,62130.0,390.75
7309,324091910,Standard ,6,Direct Billed to Insured,Installment,Y,44113,31,2004,CHEV TRAILBLAZE  ,Standard,-1,12,99,Work    ,3,5,Unknown,Not Applicable,Y,3,1000,25-50  ,25000,N,-1,Y,250,1,1,0,0,0,1,0,0,1,40,40,0,0,0,0,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,441,4.0,Hybrid,Y,Y,20-50,2006,N,N,437.97,1,17752.83,2.6525198938992043,17752.83,40.53
3769,281784117,Standard ,6,Direct Billed to Insured,Pre-paid,N,43647,31,1998,FORD F150        ,Standard,-1,11,1,Pleasure,-1,5,Unknown,Not Applicable,Y,9,1000,25-50  ,25000,N,-1,Y,500,1,1,0,1,0,1,0,0,1,52,52,0,0,0,0,0,1,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,436,8.5,Hybrid,N,Y,20-50,2006,Y,N,283.02,1,17458.41,2.0,17458.41,61.69
13538,361813202,Standard ,6,Direct Billed to Insured,Installment,Y,44095,31,2002,FORD ESCORT      ,Standard,-1,15,99,Work    ,3,5,Unknown,Not Applicable,Y,5,1000,50-100 ,50000,N,-1,Y,500,2,1,1,0,2,1,1,0,2,32,41,0,0,0,1,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,1,N,N,Y,440,0.8,Non-standard,N,Y,40-100 ,2006,N,N,555.44,1,1387.14,2.0,1387.14,2.5
18057,377479600,Standard ,6,Direct Billed to Insured,Pre-paid,N,43982,31,2005,FORD TAURUS SE   ,Standard,-1,10,1,Farm    ,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,2,10000,250-500,100000,N,-1,Y,250,1,0,1,0,1,1,0,0,1,62,62,0,0,0,0,0,1,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,439,0.0,Hybrid,Y,Y,100-400,2006,Y,Y,380.54,1,10687.45,2.0,10687.45,28.08
7407,324823508,Standard ,6,Direct Billed to Insured,Installment,N,42559,30,2005,BUIK LACROSSE C  ,Standard,-1,12,1,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,2,-1,25-50  ,25000,N,-1,Y,250,1,0,1,0,0,1,0,0,1,73,73,0,0,0,0,0,0,0,1,N,Not Applicable                 ,Not Eligible for Good Student Credit,2,N,N,N,425,4.0,Hybrid,N,Y,20-50,2006,Y,N,650.84,4,3016.97,8.0,754.2425,4.64
11362,351334404,Standard ,6,Direct Billed to Insured,Installment,N,42478,32,1997,LINC TOWNCAR SI  ,Standard,-1,14,1,Pleasure,-1,5,Unknown,Alarm Only,Y,9,-1,100-300,50000,N,-1,Y,500,1,1,0,0,1,1,0,0,1,68,68,0,0,0,0,0,0,1,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,424,2.0,Preferred,Y,Y,100-200,2006,N,N,368.91,1,12426.5,2.2301516503122207,12426.5,33.68
3469,276289623,Standard ,6,Direct Billed to Insured,Installment,Y,42755,31,1998,TYTA COROLLA     ,Standard,-1,12,1,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,9,1000,50-100 ,50000,N,-1,Y,500,1,0,1,0,1,0,0,0,1,44,44,0,0,0,0,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,427,8.8,Preferred,N,Y,40-100 ,2006,Y,N,293.62,1,2009.01,2.0,2009.01,6.84
17081,374194100,Standard ,6,Direct Billed to Insured,Installment,N,42359,30,2000,FORD EXCRSN LTD  ,Standard,-1,18,99,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,7,5000,100-300,100000,N,-1,Y,500,1,1,0,0,1,1,0,0,1,45,45,0,0,0,0,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,N,Y,423,0.0,Hybrid,Y,Y,100-200,2006,Y,Y,527.88,1,288.57,2.0,288.57,0.55
