,PolicyNo,Policy_Company,Policy_Installment_Term,Policy_Billing_Code,Policy_Method_Of_Payment,Policy_Reinstatement_Fee_Indicator,Policy_Zip_Code_Garaging_Location,Vehicle_Territory,Vehicle_Make_Year,Vehicle_Make_Description,Vehicle_Performance,Vehicle_New_Cost_Amount,Vehicle_Symbol,Vehicle_Number_Of_Drivers_Assigned,Vehicle_Usage,Vehicle_Miles_To_Work,Vehicle_Days_Per_Week_Driven,Vehicle_Annual_Miles,Vehicle_Anti_Theft_Device,Vehicle_Passive_Restraint,Vehicle_Age_In_Years,Vehicle_Med_Pay_Limit,Vehicle_Bodily_Injury_Limit,Vehicle_Physical_Damage_Limit,Vehicle_Comprehensive_Coverage_Indicator,Vehicle_Comprehensive_Coverage_Limit,Vehicle_Collision_Coverage_Indicator,Vehicle_Collision_Coverage_Deductible,Driver_Total,Driver_Total_Male,Driver_Total_Female,Driver_Total_Single,Driver_Total_Married,Driver_Total_Related_To_Insured_Self,Driver_Total_Related_To_Insured_Spouse,Driver_Total_Related_To_Insured_Child,Driver_Total_Licensed_In_State,Driver_Minimum_Age,Driver_Maximum_Age,Driver_Total_Teenager_Age_15_19,Driver_Total_College_Ages_20_23,Driver_Total_Young_Adult_Ages_24_29,Driver_Total_Low_Middle_Adult_Ages_30_39,Driver_Total_Middle_Adult_Ages_40_49,Driver_Total_Adult_Ages_50_64,Driver_Total_Senior_Ages_65_69,Driver_Total_Upper_Senior_Ages_70_plus,Vehicle_Youthful_Driver_Indicator,Vehicle_Youthful_Driver_Training_Code,Vehicle_Youthful_Good_Student_Code,Vehicle_Driver_Points,Vehicle_Safe_Driver_Discount_Indicator,EEA_Liability_Coverage_Only_Indicator,EEA_Multi_Auto_Policies_Indicator,EEA_Policy_Zip_Code_3,EEA_Policy_Tenure,EEA_Agency_Type,EEA_Packaged_Policy_Indicator,EEA_Full_Coverage_Indicator,EEA_Prior_Bodily_Injury_Limit,EEA_PolicyYear,SYS_Renewed,SYS_New_Business,Annual_Premium,Claim_Count,Loss_Amount,Frequency,Severity,Loss_Ratio
12064,354999704,Preferred,6,Direct Billed to Insured,Installment,N,42885,35,2006,CHRY PT CRUISER  ,Standard,-1,12,99,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,1,1000,25-50  ,25000,N,-1,Y,1000,1,0,1,0,1,0,1,0,1,26,26,0,0,1,0,0,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,1,N,N,Y,428,1.5,Non-standard,N,Y,20-50,2006,N,N,539.01,1,1293.55,2.139495079161318,1293.55,2.4
14453,365330302,Standard ,6,Direct Billed to Insured,Installment,N,44153,31,2000,FORD RNGRXL-XLT  ,Standard,-1,12,1,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,7,5000,100-300,50000,N,-1,Y,1000,1,1,0,1,0,0,0,1,1,17,17,1,0,0,0,0,0,0,0,Y,With Driver Training           ,Eligible for Good Student Credit    ,0,Y,N,Y,441,1.0,Non-standard,Y,Y,100-200,2006,Y,N,807.72,1,2975.2,2.0,2975.2,3.68
2005,231071640,Standard ,6,Direct Billed to Insured,Pre-paid,N,Unknown,31,2000,CHRY TWN&CTYLXI  ,Standard,-1,12,1,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,7,5000,25-50  ,25000,N,-1,Y,500,1,0,1,0,1,0,1,0,1,70,70,0,0,0,0,0,0,0,1,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,Unknown,22.0,Preferred,Y,Y,20-50,2006,Y,N,318.0,1,523.37,2.0,523.37,1.65
900,198368219,Standard ,6,Direct Billed to Insured,Pre-paid,N,43173,30,1999,GMC  SIERRA1500  ,Standard,-1,12,99,Pleasure,-1,5,Unknown,Not Applicable,Y,8,1000,100-300,50000,N,-1,Y,500,1,1,0,0,1,1,0,0,1,45,45,0,0,0,0,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,431,9.5,Preferred,Y,Y,100-200,2006,Y,N,327.54,1,54.5,2.0,54.5,0.17
12124,355315505,Standard ,12,Premium Finance,Pre-paid,N,43001,35,2004,DODG RAM PICKUP  ,Standard,-1,14,1,Pleasure,-1,5,Unknown,Alarm Only,Y,4,-1,100-300,50000,N,-1,Y,500,2,1,1,1,1,0,1,1,2,19,49,1,0,0,0,1,0,0,0,Y,Without Driver Training        ,Not Eligible for Good Student Credit,0,N,N,Y,430,2.0,Hybrid,Y,Y,100-200,2006,Y,N,1547.1,1,3453.65,1.3273161667109106,3453.65,2.23
16710,373104700,Preferred,6,Direct Billed to Insured,Pre-paid,N,42358,37,2003,HOND ACCORD EX   ,Standard,-1,13,99,Work    ,5,5,Unknown,Passive Disabling-Vehicle Recovery,Y,4,5000,50-100 ,50000,N,-1,Y,500,1,0,1,1,0,1,0,0,1,26,26,0,0,1,0,0,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,1,N,N,N,423,0.0,Non-standard,N,Y,40-100 ,2006,Y,Y,795.0,1,1406.1,2.0,1406.1,1.77
6372,315765811,Standard ,6,Direct Billed to Insured,Installment,Y,43372,31,2004,FORD F-150 SUPE  ,Standard,-1,16,99,Work    ,6,5,Unknown,Not Applicable,Y,4,2000,100-300,50000,N,-1,Y,500,2,1,1,0,2,1,1,0,2,23,25,0,1,1,0,0,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,1,N,N,Y,433,5.4,Preferred,Y,Y,100-200,2006,Y,N,665.68,1,4030.7,2.0,4030.7,6.06
10761,347820805,Standard ,6,Direct Billed to Insured,Pre-paid,Y,43066,27,2001,FORD F250 SPDTY  ,Standard,-1,16,99,Farm    ,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,6,-1,100-300,100000,N,-1,Y,500,2,1,1,0,2,1,1,0,2,44,45,0,0,0,0,2,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,1,N,N,Y,430,2.1,Hybrid,Y,Y,100-200,2006,Y,N,415.52,1,897.03,2.0,897.03,2.16
1495,217057040,Standard ,6,Direct Billed to Insured,Pre-paid,N,43362,31,1998,CHEV PICKUP1500  ,Standard,-1,14,1,Work    ,20,5,Unknown,Not Applicable,Y,9,2000,100-300,50000,N,-1,N,-1,1,1,0,0,1,1,0,0,1,56,56,0,0,0,0,0,1,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,1,N,Y,Y,433,25.5,Standard,N,N,100-200,2006,Y,N,190.8,1,2371.86,2.0,2371.86,12.43
8141,330624607,Standard ,6,Direct Billed to Insured,Installment,N,42995,30,2002,FORD F150 CREW   ,Standard,-1,13,99,Work    ,5,5,Unknown,Passive Disabling-Vehicle Recovery,Y,5,1000,50-100 ,50000,N,-1,Y,500,1,1,0,0,1,0,1,0,1,31,31,0,0,0,1,0,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,429,3.5,Standard,N,Y,40-100 ,2006,Y,N,421.88,1,515.64,2.0,515.64,1.22
4524,293836014,Standard ,6,Direct Billed to Insured,Installment,N,43160,15,2002,PONT BONVLLE SE  ,Standard,-1,8,99,Pleasure,-1,5,Unknown,Not Applicable,Y,5,1000,50-100 ,50000,N,-1,Y,250,2,1,1,0,2,1,1,0,2,35,37,0,0,0,2,0,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,1,N,N,Y,431,7.0,Non-standard,N,Y,40-100 ,2006,Y,N,518.34,1,3610.53,2.0,3610.53,6.97
